Posisi,Perusahaan,Lokasi,Gaji,Waktu,min_Gajian,max_Gajian,avg_Gajian,Nama_Perusahaan,kota_Kerja,Time
Data Analyst,PT Sigma Digital Nusantara,Yogyakarta,Rp 2.500.000 – Rp 3.000.000 per month,4 hari yang lalu,2500000.0,3000000.0,2750000.0,PT Sigma Digital Nusantara,Yogyakarta,4 hari yang lalu
Data Center System Operation Officer,PT CIMB Niaga Auto Finance,Tangerang,Gaji tidak disebutkan,4 hari yang lalu,,,,PT CIMB Niaga Auto Finance,Tangerang,4 hari yang lalu
Analis Data Support,PT PUTRA MANDIRI PERKASA INDONESIA,Jakarta Utara,Rp 5.750.000 – Rp 6.500.000 per month,4 hari yang lalu,5750000.0,6500000.0,6125000.0,PT PUTRA MANDIRI PERKASA INDONESIA,Jakarta Utara,4 hari yang lalu
AI Automation Developer,PT. Impian Property Management,Badung,Rp 6.000.000 – Rp 8.000.000 per month,4 hari yang lalu,6000000.0,8000000.0,7000000.0,PT. Impian Property Management,Badung,4 hari yang lalu
IT Manager (Enterprise Systems & Data),CV Unitech Indonesia,Malang,Gaji tidak disebutkan,4 hari yang lalu,,,,CV Unitech Indonesia,Malang,4 hari yang lalu
Data Analyst,Catalyst,Kebayoran Lama,Gaji tidak disebutkan,4 hari yang lalu,,,,Catalyst,Kebayoran Lama,4 hari yang lalu
2027 Graduate Program - Technology,Macquarie Group,Indonesia,Gaji tidak disebutkan,4 hari yang lalu,,,,Macquarie Group,Indonesia,4 hari yang lalu
Jr. Data Engineer,ALPHALITICAL,Kebayoran Lama,Gaji tidak disebutkan,5 hari yang lalu,,,,ALPHALITICAL,Kebayoran Lama,5 hari yang lalu
Executive Assistant to Director,TurnkeyID,Surabaya,Rp 6.000.000 – Rp 9.000.000 per month,5 hari yang lalu,6000000.0,9000000.0,7500000.0,TurnkeyID,Surabaya,5 hari yang lalu
"Data Product Owner, Senior Manager",Macquarie Group,Indonesia,Gaji tidak disebutkan,5 hari yang lalu,,,,Macquarie Group,Indonesia,5 hari yang lalu
